,ent1PC1,ent1PC2,ent2PC1,ent2PC2
51,-0.33551887,-0.21754137,-0.42175552,-0.16805595
52,-0.2583439,-0.10516376,-0.31847665,-0.26525146
53,-0.2583439,-0.10516376,0.55889225,0.12888862
54,-0.159139,-0.24726643,0.20303288,0.30404302
55,-0.23247902,0.27674136,0.19674414,-0.07383324
56,0.65882194,-0.1744099,0.07261151,-0.7566695
57,-0.2583439,-0.10516376,-0.1723216,0.07140201
58,0.17110637,-0.05872099,-0.16025549,0.11657587
59,-0.2583439,-0.10516376,-0.61165303,-0.07711762
60,-0.2583439,-0.10516376,-0.0635433,0.053535476
61,0.27694464,0.5229349,-0.1800367,0.28322548
62,-0.37808067,-0.035550196,-0.4539704,-0.027352717
63,0.25838646,0.06174873,0.109238505,0.1631869
64,-0.2583439,-0.10516376,-0.61165303,-0.07711762
65,0.28750756,-0.18090378,0.29733986,-0.40909714
66,-0.63601494,0.29766688,-0.0688088,-0.5185429
67,0.03977873,-0.13529395,-0.35095197,0.3604813
68,0.10616452,0.10273033,0.013165208,0.3268314
69,-0.25755045,-0.44684282,-0.0688088,-0.5185429
70,0.24238539,0.3507885,0.16975144,0.2942998
71,-0.2583439,-0.10516376,-0.61165303,-0.07711762
72,0.08265777,-0.11033441,-0.049828272,0.23137434
73,0.65882194,-0.1744099,0.4204253,-0.35463485
74,0.029247113,0.7373415,0.544939,-0.09100636
75,-0.2583439,-0.10516376,0.054605845,-0.09479699
76,-0.15879922,-0.029628174,0.15104339,0.013432661
77,0.2482967,0.33397064,0.22866769,0.2033856
78,0.008023058,0.16783732,0.08039721,0.22662042
79,0.1833092,-0.036579672,-0.027475473,0.2711185
80,-0.2583439,-0.10516376,0.23946007,-0.13079552
81,0.19148695,-0.08511716,0.33052072,0.35044453
82,-0.19152172,0.052377168,0.15824802,0.08635828
83,0.065066025,0.38799337,-0.015842805,0.44513577
84,-0.2583439,-0.10516376,-0.21858452,0.34831345
85,-0.15879922,-0.029628174,0.2075817,-0.5546293
86,-0.018420078,-0.021642009,-0.033314247,0.03172877
87,-0.22424011,0.13977456,-0.21979553,0.24363515
88,-0.4438266,0.48104802,0.52685153,-0.074232966
89,0.5084476,0.28274894,0.5309822,0.6694432
90,-0.2583439,-0.10516376,-0.35080105,0.14777511
91,-0.2583439,-0.10516376,-0.029520893,0.15880059
92,-0.10344633,0.20088424,0.03654492,0.4124561
93,-0.15839203,0.03973292,0.05039924,-0.08411542
94,-0.15879922,-0.029628174,-0.20038544,-0.14685136
95,-0.05839707,-0.04250958,0.049445234,0.18495263
96,-0.2583439,-0.10516376,-0.052870046,0.33293235
97,0.65882194,-0.1744099,0.07261151,-0.7566695
