Q180816, P109, Q100774275
Q7803191, P164, Q40348
Q242345, P129, Q100774275
Q575782, P129, Q100774275
Q30, P174, Q42377967
Q114, P105, Q423208
Q30, P151, Q58983539
Q35476, P155, Q191715
Q2283, P133, Q11660
Q24090301, P133, Q1418
Q2283, P133, Q21490961
Q1411292, P109, Q219635
Q13677, P109, Q100774275
Q2283, P100, Q59608476
Q1418, P164, Q312
Q1418, P113, Q312
Q13677, P129, Q100716577
Q13677, P109, Q100718154
Q24090301, P133, Q1418
Q458, P126, Q850210
Q2283, P102, Q63241568
Q13677, P129, Q27999485
Q1207, P135, Q18619061
Q2283, P101, Q14772
Q16213294, P150, Q484876
Q11991268, P170, Q2283
Q2283, P148, Q3510521
Q2283, P109, Q4830453
Q163820, P105, Q88984215
Q13677, P129, Q88984215
Q7808625, P133, Q1318054
Q33999005, P109, Q80976779
Q1418, P106, Q748250
Q77548432, P172, Q540626
Q30, P105, Q88984215
Q183984, P109, Q1134378
Q2283, P108, Q100774876
Q918, P129, Q81629287
Q668, P105, Q655286
Q2283, P105, Q29957041
Q2283, P109, Q161885
Q2283, P100, Q31207
Q2283, P103, Q95
Q2283, P136, Q326498
Q312, P109, Q2283
Q14772, P135, Q81629287
Q20718, P133, Q155972
Q2283, P174, Q213660
Q941127, P155, Q15209696
Q7692685, P132, Q16
Q23680002, P133, Q20514253
Q213660, P107, Q28666828
Q16980, P172, Q248
Q359, P108, Q37230
Q2283, P131, Q219563
Q211098, P101, Q2283
Q3122864, P113, Q44732631
Q30, P100, Q483639
Q2283, P133, Q28406404
Q2283, P101, Q11463
Q213660, P133, Q189507
Q918, P138, Q100775352
Q3122864, P155, Q1068473
Q66688566, P114, Q16338
Q3122864, P105, Q466439
Q2283, P133, Q100741536
Q11991268, P127, Q380
Q13677, P109, Q80976779
Q1574977, P124, Q148
Q2283, P148, Q1381966
Q380, P113, Q27022329
Q49740, P109, Q613366
Q2283, P100, Q30
Q2283, P133, Q8076
Q2283, P106, Q456157
Q3122864, P144, Q44732631
Q458, P151, Q100742003
Q13677, P109, Q19571328
Q575782, P109, Q19571328
Q22686, P120, Q71864894
Q2283, P109, Q483639
Q30, P175, Q71864894
Q3122864, P109, Q850210
Q13677, P109, Q100774275
Q2283, P155, Q1068473
Q380, P117, Q100783195
Q17, P148, Q4830453
Q456157, P101, Q4485156
Q2283, P141, Q57562431
Q13677, P156, Q100711800
Q2283, P101, Q3510521
Q48, P130, Q29957041
Q3960, P122, Q29957041
Q242345, P129, Q5440399
Q668, P122, Q29957041
Q34966237, P128, Q29957041
Q13677, P109, Q100774275
Q312, P153, Q1418
Q677085, P171, Q100701786
Q13677, P129, Q100716577
Q1418, P133, Q33
Q100741460, P126, Q42377967
Q30, P158, Q71864894
Q186012, P112, Q312
Q2283, P100, Q100722465
Q25224, P129, Q145
Q13677, P129, Q100774275
Q33999005, P109, Q2304346
Q13677, P129, Q100774275
Q13677, P109, Q100774275
Q13677, P129, Q100716577
Q30, P109, Q100774275
Q242345, P109, Q100774275
Q4951483, P116, Q725967
Q499707, P106, Q29957041
Q13677, P129, Q100774275
Q30, P105, Q159
Q2283, P155, Q74675685
Q48, P129, Q100742135
Q13677, P129, Q100742135
Q13677, P109, Q80976779
Q475000, P109, Q100774275
Q456157, P148, Q15825471
Q312, P102, Q148
Q13677, P109, Q1134378
Q456157, P100, Q93288
Q242345, P109, Q100774275
Q2283, P109, Q483639
Q148, P155, Q11660
Q2283, P132, Q11660
Q1560114, P145, Q59561164
Q540891, P105, Q2283
Q29468, P164, Q59561164
Q212, P105, Q29957041
Q180816, P109, Q312
Q242345, P129, Q100774275
Q681849, P101, Q9200127
Q16732847, P165, Q2283
Q489943, P158, Q2283
Q5164748, P156, Q1630279
Q2283, P159, Q489943
Q456158, P132, Q725967
Q2283, P100, Q16953455
Q5284, P131, Q2283
Q600180, P128, Q98
Q941127, P109, Q15209696
Q312, P101, Q671224
Q460173, P118, Q10346136
Q13677, P109, Q100742135
Q28022144, P115, Q15897235
Q22686, P158, Q5251504
Q20718, P100, Q1585599
Q66048, P146, Q100774508
Q7943726, P108, Q29159
Q757307, P133, Q42588510
Q3122864, P170, Q5251504
Q2283, P100, Q129238
Q7808625, P133, Q4485156
Q458, P155, Q3510521
